trial,Ks,Cs,worstRMSAccel,worstTravel,worstTireDefl,allCasesPass
1,18305.2331574958,2295.24701285886,3.25507374133471,0.0551379232376484,0.0202808021637294,0
2,21119.6751689605,2452.55827518614,3.31004586975952,0.054262755331952,0.0196561401956614,1
3,19753.6369257636,2128.63629555943,3.18725415664502,0.0618932028311806,0.020092343237768,0
4,20893.8607113238,2271.82046365621,3.24777683734445,0.0583709122832464,0.0197197816358257,1
5,21911.9580479864,2434.10776869903,3.30640267353002,0.0546863980940953,0.0194888364403429,1
6,20153.9834816417,2084.92625059166,3.17180223601888,0.0634097727834877,0.0200180484967229,0
7,20004.4818546398,2260.53566130319,3.23797458540953,0.0583019864781512,0.0199557559741363,1
8,18288.204533439,2362.68443659592,3.28098392369755,0.0533754885858316,0.0202295191431296,0
9,19073.7559204075,2326.05595839776,3.26595079828273,0.0556246519475735,0.0201198926692007,0
10,19999.5300033022,2235.48878688524,3.23203789816357,0.0589566248934505,0.0199813866249107,1
11,20716.9199844838,2117.18209063401,3.18301945668456,0.062502899716158,0.0198266145813973,1
12,21214.9561444175,2245.84465009098,3.23343393351411,0.0589462966876238,0.0196579499916961,1
13,19523.7645325942,2192.57311022328,3.2147203364682,0.0597625153170357,0.0200993622896676,0
14,18263.7453876236,2239.83051968321,3.23510680516447,0.0565731121197439,0.0203325675170538,0
15,19152.582397232,2189.65067360127,3.21440853268537,0.0594808245703229,0.0201934393884494,0
16,21638.3741108785,2402.06309743917,3.29401759655511,0.0553955650629347,0.0195363716851598,1
17,18853.5414143197,2370.89137793378,3.28309410543772,0.0541740111796003,0.020123966920213,0
18,19808.4958472707,2166.2976047457,3.20349113085735,0.0608032267519949,0.0200542269350592,0
19,21724.8240787561,2282.68139968978,3.25085736993623,0.0579505410334638,0.0195221908439503,1
20,18099.5969102014,2149.22207174881,3.19529617744652,0.0589242818697364,0.0204584944714772,0
